,model,n_features,outliers,n_splits,mae,mse,r2_score
318,RandomForestRegressor,8,no,5,0.7857195293290173,12.374044245638304,-12.374044245638304
319,RandomForestRegressor,8,yes,5,0.7857195293290173,12.374044245638304,-12.374044245638304
320,RandomForestRegressor,8,no,4,0.7847371687627288,12.283507568612082,-12.283507568612082
321,RandomForestRegressor,8,yes,4,0.7847371687627288,12.283507568612082,-12.283507568612082
322,LGBMRegressor,8,no,4,0.7910480178493162,11.944795359879034,-11.944795359879034
323,LGBMRegressor,8,yes,4,0.7910480178493162,11.944795359879034,-11.944795359879034
324,RandomForestRegressor,11,no,5,0.8169545383248875,11.938108100218015,-11.938108100218015
325,RandomForestRegressor,11,yes,5,0.8169545383248875,11.938108100218015,-11.938108100218015
326,DecisionTreeRegressor,13,yes,5,0.7971400767216797,11.862548619040178,-11.862548619040178
327,DecisionTreeRegressor,13,no,5,0.7971400767216797,11.862548619040178,-11.862548619040178
328,RandomForestRegressor,9,no,5,0.8055370567790838,11.827401844131376,-11.827401844131376
329,RandomForestRegressor,9,yes,5,0.8055370567790838,11.827401844131376,-11.827401844131376
