model,n_features,n_splits,scorer,outliers,scores
LinearRegression,15,4,mse,no,[  0.35486213   1.0693748    0.69558695 208.7607653 ]
LinearRegression,2,5,r2_score,yes,[ -8.92840621  -1.07856283  -0.20563157  -0.52046295 -96.10236006]
LinearRegression,2,5,r2_score,no,"[-7.89984149e+00 -8.14993150e-01  2.78886448e-02 -8.54108093e-01
 -1.65245011e+02]"
LinearRegression,2,5,mae,yes,[-0.16103706 -1.05917253 -0.51661794 -1.52953571 -0.42559435]
LinearRegression,2,5,mae,no,[-0.12037716 -0.8461747  -0.55792841 -1.66046188 -0.54825544]
LinearRegression,2,5,mse,yes,[ 8.92840621  1.07856283  0.20563157  0.52046295 96.10236006]
LinearRegression,2,5,mse,no,"[ 7.89984149e+00  8.14993150e-01 -2.78886448e-02  8.54108093e-01
  1.65245011e+02]"
LinearRegression,3,5,r2_score,yes,"[-9.14229283e+00 -1.07790548e+00 -1.94475814e-01 -5.17952618e-01
 -1.12708708e+03]"
LinearRegression,3,5,r2_score,no,"[-8.68032170e+00 -8.06789229e-01  1.98017463e-03 -8.54364619e-01
 -1.44755537e+02]"
LinearRegression,3,5,mae,yes,[-0.16524221 -1.05926095 -0.51036577 -1.42748459 -0.56922991]
LinearRegression,3,5,mae,no,[-0.13827482 -0.84484005 -0.60270862 -1.65921916 -0.51256103]
LinearRegression,3,5,mse,yes,"[9.14229283e+00 1.07790548e+00 1.94475814e-01 5.17952618e-01
 1.12708708e+03]"
LinearRegression,3,5,mse,no,"[ 8.68032170e+00  8.06789229e-01 -1.98017463e-03  8.54364619e-01
  1.44755537e+02]"
LinearRegression,4,5,r2_score,yes,"[-8.48082140e+01 -1.09726170e+00 -1.72451532e-01 -5.07762512e-01
 -9.16312668e+02]"
LinearRegression,4,5,r2_score,no,"[-8.98834979e+00 -6.85239671e-01 -2.62645784e-02 -8.53979424e-01
 -1.80791229e+02]"
LinearRegression,4,5,mae,yes,[-0.26132791 -1.0740206  -0.49915128 -1.45546646 -0.53562572]
LinearRegression,4,5,mae,no,[-0.14048161 -0.82146217 -0.62228278 -1.66237724 -0.56835494]
LinearRegression,4,5,mse,yes,"[8.48082140e+01 1.09726170e+00 1.72451532e-01 5.07762512e-01
 9.16312668e+02]"
LinearRegression,4,5,mse,no,"[8.98834979e+00 6.85239671e-01 2.62645784e-02 8.53979424e-01
 1.80791229e+02]"
LinearRegression,5,5,r2_score,yes,"[-2.81195072e+02 -1.09432680e+00 -2.70608913e-01 -5.28490406e-01
 -1.20253203e+03]"
LinearRegression,5,5,r2_score,no,"[-5.46907144e+01 -7.05421144e-01 -2.14657643e-02 -8.31879555e-01
 -2.06101882e+02]"
LinearRegression,5,5,mae,yes,[-0.46872018 -1.07341338 -0.53858092 -1.44968647 -0.65045407]
LinearRegression,5,5,mae,no,[-0.31476423 -0.8258825  -0.61685782 -1.66614517 -0.60205711]
LinearRegression,5,5,mse,yes,"[2.81195072e+02 1.09432680e+00 2.70608913e-01 5.28490406e-01
 1.20253203e+03]"
LinearRegression,5,5,mse,no,"[5.46907144e+01 7.05421144e-01 2.14657643e-02 8.31879555e-01
 2.06101882e+02]"
LinearRegression,6,5,r2_score,yes,"[-3.59948475e+02 -1.17072509e+00 -2.76952155e-01 -5.43394927e-01
 -4.16843883e+03]"
LinearRegression,6,5,r2_score,no,"[-5.36297162e+01 -8.35454296e-01 -2.47866131e-02 -7.49620383e-01
 -4.00010497e+02]"
LinearRegression,6,5,mae,yes,[-0.51982187 -1.07865232 -0.51452785 -1.45339393 -1.25464391]
LinearRegression,6,5,mae,no,[-0.27073141 -0.83530542 -0.6160563  -1.63165864 -0.84553676]
LinearRegression,6,5,mse,yes,"[3.59948475e+02 1.17072509e+00 2.76952155e-01 5.43394927e-01
 4.16843883e+03]"
LinearRegression,6,5,mse,no,"[5.36297162e+01 8.35454296e-01 2.47866131e-02 7.49620383e-01
 4.00010497e+02]"
LinearRegression,7,5,r2_score,yes,"[-3.20631318e+02 -1.18330850e+00 -2.69592926e-01 -5.63703163e-01
 -4.12242573e+03]"
LinearRegression,7,5,r2_score,no,"[-4.37701235e+01 -1.01723518e+00 -5.22172384e-02 -7.90450041e-01
 -4.17782239e+02]"
LinearRegression,7,5,mae,yes,[-0.55040949 -1.08089899 -0.52056407 -1.46386137 -1.24633084]
LinearRegression,7,5,mae,no,[-0.2731686  -0.88018742 -0.61156069 -1.66459524 -0.86410908]
LinearRegression,7,5,mse,yes,"[3.20631318e+02 1.18330850e+00 2.69592926e-01 5.63703163e-01
 4.12242573e+03]"
LinearRegression,7,5,mse,no,"[4.37701235e+01 1.01723518e+00 5.22172384e-02 7.90450041e-01
 4.17782239e+02]"
LinearRegression,8,5,r2_score,yes,"[-3.27668430e+02 -1.15505415e+00 -4.86038975e-01 -5.73973618e-01
 -4.16684202e+03]"
